Learning Rate	TrainLoss	TrainL(intrr)	TrainL(bndry)	TrainL(intfc)	TrainL(symtry)	
0.00001000	0.06726030	0.00010035	0.00000055	0.00000024	0.00000002	
0.00001000	0.05110749	0.00006593	0.00000048	0.00000005	0.00000001	
0.00001000	0.05080936	0.00006577	0.00000048	0.00000005	0.00000001	
0.00001000	0.05063029	0.00006589	0.00000047	0.00000005	0.00000001	
0.00001000	0.05043335	0.00006600	0.00000047	0.00000005	0.00000001	
0.00001000	0.05025813	0.00006598	0.00000047	0.00000005	0.00000001	
0.00001000	0.04999205	0.00006606	0.00000047	0.00000005	0.00000001	
0.00001000	0.04979146	0.00006567	0.00000046	0.00000005	0.00000001	
0.00001000	0.04940874	0.00006557	0.00000046	0.00000005	0.00000001	
0.00001000	0.04902417	0.00006526	0.00000046	0.00000005	0.00000001	
0.00001000	0.04900954	0.00006578	0.00000046	0.00000005	0.00000001	
0.00001000	0.04865548	0.00006531	0.00000045	0.00000005	0.00000001	
0.00001000	0.04841645	0.00006568	0.00000045	0.00000005	0.00000001	
0.00001000	0.04833666	0.00006584	0.00000045	0.00000005	0.00000001	
0.00001000	0.04824843	0.00006612	0.00000045	0.00000005	0.00000001	
0.00001000	0.04814137	0.00006598	0.00000045	0.00000005	0.00000001	
0.00001000	0.04768122	0.00006582	0.00000044	0.00000005	0.00000001	
0.00001000	0.04764380	0.00006588	0.00000044	0.00000005	0.00000001	
0.00001000	0.04737723	0.00006572	0.00000044	0.00000005	0.00000001	
0.00001000	0.04712100	0.00006561	0.00000044	0.00000005	0.00000001	
0.00001000	0.04704564	0.00006597	0.00000044	0.00000005	0.00000001	
0.00001000	0.04666345	0.00006542	0.00000043	0.00000005	0.00000001	
0.00001000	0.04658743	0.00006554	0.00000043	0.00000005	0.00000001	
0.00001000	0.04627981	0.00006527	0.00000043	0.00000005	0.00000001	
0.00001000	0.04609365	0.00006584	0.00000043	0.00000005	0.00000001	
0.00001000	0.04602955	0.00006549	0.00000043	0.00000005	0.00000001	
0.00001000	0.04602053	0.00006584	0.00000043	0.00000006	0.00000001	
0.00001000	0.04562473	0.00006551	0.00000042	0.00000005	0.00000001	
0.00001000	0.04567444	0.00006597	0.00000042	0.00000006	0.00000001	
0.00001000	0.04554047	0.00006586	0.00000042	0.00000006	0.00000001	
0.00001000	0.04517757	0.00006563	0.00000042	0.00000005	0.00000001	
0.00001000	0.04529540	0.00006579	0.00000042	0.00000007	0.00000001	
0.00001000	0.04510396	0.00006593	0.00000042	0.00000005	0.00000001	
0.00001000	0.04482338	0.00006603	0.00000042	0.00000006	0.00000001	
0.00001000	0.04473472	0.00006566	0.00000042	0.00000006	0.00000001	
0.00001000	0.04440710	0.00006539	0.00000041	0.00000005	0.00000001	
0.00001000	0.04413850	0.00006509	0.00000041	0.00000005	0.00000001	
0.00001000	0.04419862	0.00006573	0.00000041	0.00000005	0.00000001	
0.00001000	0.04403481	0.00006563	0.00000041	0.00000006	0.00000001	
0.00001000	0.04387787	0.00006576	0.00000041	0.00000005	0.00000001	
0.00001000	0.04403834	0.00006669	0.00000041	0.00000006	0.00000001	
0.00001000	0.04388892	0.00006636	0.00000041	0.00000006	0.00000001	
0.00001000	0.04357326	0.00006580	0.00000040	0.00000006	0.00000001	
0.00001000	0.04323225	0.00006527	0.00000040	0.00000006	0.00000001	
0.00001000	0.04326389	0.00006555	0.00000040	0.00000006	0.00000001	
0.00001000	0.04299401	0.00006552	0.00000040	0.00000006	0.00000001	
0.00001000	0.04291228	0.00006554	0.00000040	0.00000006	0.00000001	
0.00001000	0.04295386	0.00006617	0.00000040	0.00000006	0.00000001	
0.00001000	0.04306304	0.00006591	0.00000040	0.00000006	0.00000001	
0.00001000	0.04248591	0.00006524	0.00000039	0.00000005	0.00000001	
0.00001000	0.04236125	0.00006544	0.00000039	0.00000005	0.00000001	
0.00001000	0.04256929	0.00006588	0.00000039	0.00000006	0.00000001	
0.00001000	0.04234816	0.00006581	0.00000039	0.00000005	0.00000001	
0.00001000	0.04204750	0.00006537	0.00000039	0.00000005	0.00000001	
0.00001000	0.04191519	0.00006551	0.00000039	0.00000005	0.00000001	
0.00001000	0.04203012	0.00006608	0.00000039	0.00000006	0.00000001	
0.00001000	0.04189730	0.00006564	0.00000039	0.00000006	0.00000001	
0.00001000	0.04169731	0.00006598	0.00000039	0.00000006	0.00000001	
0.00001000	0.04184146	0.00006620	0.00000039	0.00000006	0.00000001	
0.00001000	0.04144773	0.00006534	0.00000038	0.00000006	0.00000001	
0.00001000	0.04143572	0.00006571	0.00000038	0.00000006	0.00000001	
0.00001000	0.04135636	0.00006572	0.00000038	0.00000007	0.00000001	
0.00001000	0.04159112	0.00006602	0.00000038	0.00000006	0.00000001	
0.00001000	0.04098733	0.00006547	0.00000038	0.00000006	0.00000001	
0.00001000	0.04090730	0.00006551	0.00000038	0.00000005	0.00000001	
0.00001000	0.04081603	0.00006554	0.00000038	0.00000006	0.00000001	
0.00001000	0.04081028	0.00006643	0.00000038	0.00000006	0.00000001	
0.00001000	0.04067056	0.00006556	0.00000037	0.00000006	0.00000001	
0.00001000	0.04051388	0.00006548	0.00000037	0.00000006	0.00000001	
0.00001000	0.04032114	0.00006544	0.00000037	0.00000005	0.00000001	
0.00001000	0.04045850	0.00006586	0.00000037	0.00000006	0.00000001	
0.00001000	0.04019884	0.00006574	0.00000037	0.00000005	0.00000001	
0.00001000	0.04040452	0.00006589	0.00000037	0.00000006	0.00000001	
0.00001000	0.04007444	0.00006573	0.00000037	0.00000006	0.00000001	
0.00001000	0.04022387	0.00006653	0.00000037	0.00000006	0.00000001	
0.00001000	0.03982021	0.00006561	0.00000037	0.00000006	0.00000001	
0.00001000	0.03958819	0.00006555	0.00000037	0.00000005	0.00000001	
0.00001000	0.03978678	0.00006604	0.00000037	0.00000006	0.00000001	
0.00001000	0.03946882	0.00006536	0.00000036	0.00000005	0.00000001	
0.00001000	0.03960541	0.00006591	0.00000036	0.00000006	0.00000001	
0.00001000	0.03969522	0.00006604	0.00000036	0.00000006	0.00000001	
0.00001000	0.03928055	0.00006580	0.00000036	0.00000006	0.00000001	
0.00001000	0.03931183	0.00006590	0.00000036	0.00000005	0.00000001	
0.00001000	0.03908315	0.00006560	0.00000036	0.00000005	0.00000001	
0.00001000	0.03916960	0.00006584	0.00000036	0.00000006	0.00000001	
0.00001000	0.03920131	0.00006636	0.00000036	0.00000006	0.00000001	
0.00001000	0.03892612	0.00006587	0.00000036	0.00000006	0.00000001	
0.00001000	0.03887029	0.00006624	0.00000036	0.00000006	0.00000001	
0.00001000	0.03891747	0.00006585	0.00000036	0.00000006	0.00000001	
0.00001000	0.03873149	0.00006593	0.00000036	0.00000005	0.00000001	
0.00001000	0.03856095	0.00006589	0.00000036	0.00000005	0.00000001	
0.00001000	0.03864937	0.00006580	0.00000035	0.00000006	0.00000001	
0.00001000	0.03854207	0.00006593	0.00000035	0.00000006	0.00000001	
0.00001000	0.03819300	0.00006541	0.00000035	0.00000006	0.00000001	
0.00001000	0.03825888	0.00006563	0.00000035	0.00000005	0.00000001	
0.00001000	0.03817706	0.00006558	0.00000035	0.00000005	0.00000001	
0.00001000	0.03818941	0.00006591	0.00000035	0.00000006	0.00000001	
0.00001000	0.03790546	0.00006554	0.00000035	0.00000006	0.00000001	
0.00001000	0.03797915	0.00006578	0.00000035	0.00000006	0.00000001	
0.00001000	0.03821277	0.00006647	0.00000035	0.00000006	0.00000001	
0.00001000	0.03783913	0.00006626	0.00000035	0.00000006	0.00000001	
0.00001000	0.03774116	0.00006577	0.00000035	0.00000006	0.00000001	
0.00001000	0.03776182	0.00006565	0.00000035	0.00000006	0.00000001	
0.00001000	0.03750601	0.00006584	0.00000034	0.00000006	0.00000001	
0.00001000	0.03794026	0.00006642	0.00000035	0.00000006	0.00000001	
0.00001000	0.03770410	0.00006585	0.00000034	0.00000006	0.00000001	
0.00001000	0.03726269	0.00006577	0.00000034	0.00000006	0.00000001	
0.00001000	0.03761156	0.00006646	0.00000034	0.00000006	0.00000001	
0.00001000	0.03733576	0.00006620	0.00000034	0.00000006	0.00000001	
0.00001000	0.03754768	0.00006640	0.00000034	0.00000006	0.00000001	
0.00001000	0.03717670	0.00006603	0.00000034	0.00000006	0.00000001	
0.00001000	0.03702869	0.00006593	0.00000034	0.00000006	0.00000001	
0.00001000	0.03715616	0.00006603	0.00000034	0.00000006	0.00000001	
0.00001000	0.03696230	0.00006585	0.00000034	0.00000006	0.00000001	
0.00001000	0.03693605	0.00006590	0.00000034	0.00000006	0.00000001	
0.00001000	0.03679217	0.00006596	0.00000034	0.00000006	0.00000001	
0.00001000	0.03647372	0.00006524	0.00000033	0.00000005	0.00000001	
0.00001000	0.03645864	0.00006529	0.00000033	0.00000005	0.00000001	
0.00001000	0.03651199	0.00006605	0.00000033	0.00000006	0.00000001	
0.00001000	0.03680023	0.00006618	0.00000034	0.00000006	0.00000001	
0.00001000	0.03656981	0.00006610	0.00000034	0.00000006	0.00000001	
0.00001000	0.03677427	0.00006654	0.00000034	0.00000006	0.00000001	
0.00001000	0.03612062	0.00006539	0.00000033	0.00000006	0.00000001	
0.00001000	0.03627782	0.00006587	0.00000033	0.00000006	0.00000001	
0.00001000	0.03628354	0.00006614	0.00000033	0.00000006	0.00000001	
0.00001000	0.03598797	0.00006555	0.00000033	0.00000006	0.00000001	
0.00001000	0.03609331	0.00006579	0.00000033	0.00000006	0.00000001	
0.00001000	0.03607284	0.00006600	0.00000033	0.00000006	0.00000001	
0.00001000	0.03636859	0.00006641	0.00000033	0.00000007	0.00000001	
0.00001000	0.03583584	0.00006578	0.00000033	0.00000006	0.00000001	
0.00001000	0.03586742	0.00006635	0.00000033	0.00000006	0.00000001	
0.00001000	0.03577495	0.00006611	0.00000033	0.00000006	0.00000001	
0.00001000	0.03597739	0.00006606	0.00000033	0.00000006	0.00000001	
0.00001000	0.03578622	0.00006597	0.00000033	0.00000006	0.00000001	
0.00001000	0.03574492	0.00006614	0.00000033	0.00000006	0.00000001	
0.00001000	0.03544920	0.00006559	0.00000032	0.00000005	0.00000001	
0.00001000	0.03583046	0.00006646	0.00000033	0.00000006	0.00000001	
0.00001000	0.03568374	0.00006631	0.00000033	0.00000006	0.00000001	
0.00001000	0.03534303	0.00006580	0.00000032	0.00000006	0.00000001	
0.00001000	0.03549310	0.00006609	0.00000032	0.00000006	0.00000001	
0.00001000	0.03529281	0.00006607	0.00000032	0.00000006	0.00000001	
0.00001000	0.03528635	0.00006623	0.00000032	0.00000006	0.00000001	
0.00001000	0.03519180	0.00006570	0.00000032	0.00000006	0.00000001	
0.00001000	0.03513121	0.00006604	0.00000032	0.00000006	0.00000001	
0.00001000	0.03519365	0.00006618	0.00000032	0.00000006	0.00000001	
0.00001000	0.03524136	0.00006697	0.00000032	0.00000007	0.00000001	
0.00001000	0.03526325	0.00006618	0.00000032	0.00000006	0.00000001	
0.00001000	0.03506401	0.00006613	0.00000032	0.00000006	0.00000001	
0.00001000	0.03493425	0.00006596	0.00000032	0.00000006	0.00000001	
0.00001000	0.03456653	0.00006551	0.00000032	0.00000005	0.00000001	
0.00001000	0.03537963	0.00006740	0.00000032	0.00000007	0.00000001	
0.00001000	0.03479494	0.00006597	0.00000032	0.00000006	0.00000001	
0.00001000	0.03457461	0.00006548	0.00000031	0.00000006	0.00000001	
0.00001000	0.03443241	0.00006579	0.00000032	0.00000005	0.00000001	
0.00001000	0.03458749	0.00006605	0.00000032	0.00000006	0.00000001	
0.00001000	0.03443877	0.00006576	0.00000031	0.00000006	0.00000001	
0.00001000	0.03449172	0.00006625	0.00000032	0.00000006	0.00000001	
0.00001000	0.03437009	0.00006584	0.00000031	0.00000005	0.00000001	
0.00001000	0.03435748	0.00006628	0.00000031	0.00000006	0.00000001	
0.00001000	0.03444936	0.00006616	0.00000031	0.00000007	0.00000001	
0.00001000	0.03452677	0.00006650	0.00000031	0.00000006	0.00000001	
0.00001000	0.03408428	0.00006588	0.00000031	0.00000006	0.00000001	
0.00001000	0.03418264	0.00006599	0.00000031	0.00000006	0.00000001	
0.00001000	0.03415847	0.00006637	0.00000031	0.00000007	0.00000001	
0.00001000	0.03449694	0.00006641	0.00000031	0.00000007	0.00000001	
0.00001000	0.03394945	0.00006609	0.00000031	0.00000006	0.00000001	
0.00001000	0.03447441	0.00006663	0.00000031	0.00000007	0.00000001	
0.00001000	0.03385691	0.00006583	0.00000031	0.00000006	0.00000001	
0.00001000	0.03382714	0.00006609	0.00000031	0.00000006	0.00000001	
0.00001000	0.03371916	0.00006588	0.00000031	0.00000006	0.00000001	
0.00001000	0.03397153	0.00006611	0.00000031	0.00000007	0.00000001	
0.00001000	0.03383764	0.00006627	0.00000031	0.00000006	0.00000001	
0.00001000	0.03374064	0.00006600	0.00000031	0.00000006	0.00000001	
0.00001000	0.03353626	0.00006579	0.00000031	0.00000006	0.00000001	
0.00001000	0.03349155	0.00006568	0.00000030	0.00000006	0.00000001	
0.00001000	0.03348938	0.00006574	0.00000030	0.00000006	0.00000001	
0.00001000	0.03355580	0.00006669	0.00000031	0.00000006	0.00000001	
0.00001000	0.03344278	0.00006625	0.00000030	0.00000006	0.00000001	
0.00001000	0.03372917	0.00006639	0.00000031	0.00000006	0.00000001	
0.00001000	0.03335278	0.00006569	0.00000030	0.00000006	0.00000001	
0.00001000	0.03325147	0.00006581	0.00000030	0.00000006	0.00000001	
0.00001000	0.03331732	0.00006644	0.00000030	0.00000006	0.00000001	
0.00001000	0.03331704	0.00006625	0.00000030	0.00000006	0.00000001	
0.00001000	0.03308825	0.00006602	0.00000030	0.00000006	0.00000001	
0.00001000	0.03336140	0.00006632	0.00000030	0.00000006	0.00000001	
0.00001000	0.03334253	0.00006624	0.00000030	0.00000007	0.00000001	
0.00001000	0.03308154	0.00006589	0.00000030	0.00000006	0.00000001	
0.00001000	0.03321834	0.00006612	0.00000030	0.00000007	0.00000001	
0.00001000	0.03291454	0.00006606	0.00000030	0.00000005	0.00000001	
0.00001000	0.03290923	0.00006609	0.00000030	0.00000006	0.00000001	
0.00001000	0.03293347	0.00006601	0.00000030	0.00000006	0.00000001	
0.00001000	0.03303835	0.00006632	0.00000030	0.00000006	0.00000001	
0.00001000	0.03296277	0.00006620	0.00000030	0.00000006	0.00000001	
0.00001000	0.03275529	0.00006609	0.00000030	0.00000006	0.00000001	
0.00001000	0.03269514	0.00006608	0.00000030	0.00000006	0.00000001	
0.00001000	0.03284098	0.00006664	0.00000030	0.00000006	0.00000001	
0.00001000	0.03310697	0.00006632	0.00000030	0.00000006	0.00000001	
0.00001000	0.03294982	0.00006646	0.00000030	0.00000007	0.00000001	
0.00001000	0.03256818	0.00006613	0.00000030	0.00000006	0.00000001	
0.00001000	0.03265444	0.00006649	0.00000030	0.00000006	0.00000001	
0.00001000	0.03271072	0.00006658	0.00000030	0.00000006	0.00000001	
0.00001000	0.03238728	0.00006612	0.00000029	0.00000006	0.00000001	
0.00001000	0.03241810	0.00006597	0.00000029	0.00000006	0.00000001	
0.00001000	0.03231771	0.00006627	0.00000029	0.00000006	0.00000001	
0.00001000	0.03282992	0.00006664	0.00000030	0.00000007	0.00000001	
0.00001000	0.03223839	0.00006581	0.00000029	0.00000006	0.00000001	
0.00001000	0.03228707	0.00006625	0.00000029	0.00000006	0.00000001	
0.00001000	0.03212258	0.00006603	0.00000029	0.00000006	0.00000001	
0.00001000	0.03227513	0.00006599	0.00000029	0.00000007	0.00000001	
0.00001000	0.03202376	0.00006573	0.00000029	0.00000006	0.00000001	
0.00001000	0.03223850	0.00006605	0.00000029	0.00000006	0.00000001	
0.00001000	0.03208450	0.00006615	0.00000029	0.00000006	0.00000001	
0.00001000	0.03233601	0.00006653	0.00000029	0.00000007	0.00000001	
0.00001000	0.03261328	0.00006676	0.00000029	0.00000007	0.00000001	
0.00001000	0.03189557	0.00006613	0.00000029	0.00000006	0.00000001	
0.00001000	0.03196467	0.00006634	0.00000029	0.00000007	0.00000001	
0.00001000	0.03202834	0.00006628	0.00000029	0.00000006	0.00000001	
0.00001000	0.03179279	0.00006624	0.00000029	0.00000006	0.00000001	
0.00001000	0.03188579	0.00006637	0.00000029	0.00000006	0.00000001	
0.00001000	0.03218372	0.00006678	0.00000029	0.00000006	0.00000001	
0.00001000	0.03172583	0.00006619	0.00000029	0.00000005	0.00000001	
0.00001000	0.03205740	0.00006625	0.00000029	0.00000006	0.00000001	
0.00001000	0.03158612	0.00006629	0.00000029	0.00000005	0.00000001	
0.00001000	0.03191579	0.00006670	0.00000029	0.00000006	0.00000001	
0.00001000	0.03173850	0.00006655	0.00000029	0.00000006	0.00000001	
0.00001000	0.03158759	0.00006624	0.00000029	0.00000006	0.00000001	
0.00001000	0.03157438	0.00006610	0.00000029	0.00000006	0.00000001	
0.00001000	0.03143590	0.00006592	0.00000028	0.00000006	0.00000001	
0.00001000	0.03176253	0.00006659	0.00000029	0.00000007	0.00000001	
0.00001000	0.03129306	0.00006583	0.00000028	0.00000006	0.00000001	
0.00001000	0.03161253	0.00006624	0.00000028	0.00000007	0.00000001	
0.00001000	0.03168245	0.00006673	0.00000029	0.00000006	0.00000001	
0.00001000	0.03120825	0.00006602	0.00000028	0.00000006	0.00000001	
0.00001000	0.03130682	0.00006616	0.00000028	0.00000006	0.00000001	
0.00001000	0.03133681	0.00006649	0.00000028	0.00000006	0.00000001	
0.00001000	0.03131313	0.00006619	0.00000028	0.00000006	0.00000001	
0.00001000	0.03127925	0.00006624	0.00000028	0.00000006	0.00000001	
0.00001000	0.03138964	0.00006626	0.00000028	0.00000006	0.00000001	
0.00001000	0.03149758	0.00006679	0.00000028	0.00000007	0.00000001	
0.00001000	0.03102724	0.00006587	0.00000028	0.00000006	0.00000001	
