Learning Rate	TrainLoss	TestLoss	TrainL(reglr)	TrainL(bndry)	TrainL(snglr)	TrainL(symtry)	
0.00100000	2.12327660	0.00213451	0.18119151	0.00065953	0.00003399	0.00002758	
0.00100000	2.09447514	0.00203163	0.18430866	0.00064834	0.00003671	0.00002693	
0.00100000	2.10442379	0.00211418	0.17946869	0.00066309	0.00003517	0.00002622	
0.00100000	2.05805470	0.00209950	0.18094850	0.00065109	0.00003298	0.00002572	
0.00100000	2.06440461	0.00202954	0.18154566	0.00064566	0.00003385	0.00002482	
0.00100000	2.08430882	0.00207981	0.18097479	0.00064674	0.00003238	0.00002414	
0.00100000	2.06498865	0.00202725	0.17867229	0.00064889	0.00003420	0.00002356	
0.00100000	2.10884074	0.00196025	0.18207536	0.00063881	0.00003245	0.00002293	
0.00100000	2.10278314	0.00205895	0.18072570	0.00064656	0.00003625	0.00002249	
0.00100000	2.10760719	0.00197994	0.17811446	0.00064027	0.00003921	0.00002167	
0.00100000	2.07159469	0.00204147	0.17883632	0.00063982	0.00003113	0.00002106	
0.00100000	1.98879454	0.00197874	0.17930103	0.00063393	0.00003184	0.00002064	
0.00100000	2.03626587	0.00196880	0.17641271	0.00063720	0.00003633	0.00002009	
0.00100000	2.04179192	0.00199776	0.17854203	0.00063201	0.00003187	0.00001958	
0.00100000	1.99359436	0.00200000	0.17626531	0.00063414	0.00003118	0.00001910	
0.00100000	2.01149931	0.00198229	0.17610179	0.00063116	0.00003065	0.00001860	
0.00100000	2.01454519	0.00195937	0.17757223	0.00062546	0.00003047	0.00001815	
0.00100000	1.94769429	0.00194089	0.17430965	0.00063259	0.00002853	0.00001767	
0.00100000	2.02981537	0.00193631	0.17601146	0.00062335	0.00003209	0.00001728	
0.00100000	1.98560711	0.00198546	0.17602403	0.00062273	0.00003161	0.00001684	
0.00100000	1.98912367	0.00188503	0.17359625	0.00062600	0.00002937	0.00001643	
0.00100000	2.00994180	0.00195571	0.17438142	0.00062243	0.00003053	0.00001608	
0.00100000	1.98221775	0.00194691	0.17423068	0.00062317	0.00002832	0.00001568	
0.00100000	1.98353680	0.00188378	0.17386524	0.00061902	0.00002945	0.00001542	
0.00100000	1.99593171	0.00191899	0.17465229	0.00061579	0.00003048	0.00001495	
0.00100000	2.00659384	0.00183936	0.17219519	0.00062001	0.00002856	0.00001451	
0.00100000	1.96934393	0.00195249	0.17329423	0.00061546	0.00003266	0.00001423	
0.00100000	1.94946071	0.00183808	0.17357576	0.00061439	0.00002927	0.00001399	
0.00100000	1.99708580	0.00185493	0.17202708	0.00061473	0.00002929	0.00001361	
0.00100000	1.99839767	0.00189724	0.17381597	0.00061215	0.00003601	0.00001323	
0.00100000	1.96906887	0.00183950	0.17130922	0.00061195	0.00003534	0.00001301	
0.00100000	1.95164687	0.00175681	0.16953779	0.00061214	0.00003981	0.00001289	
0.00100000	2.00961838	0.00186554	0.17137265	0.00060959	0.00003321	0.00001259	
0.00100000	1.94338702	0.00186601	0.16967120	0.00061018	0.00003088	0.00001213	
0.00100000	1.94924935	0.00170829	0.17000695	0.00060901	0.00003070	0.00001180	
0.00100000	1.92727425	0.00185679	0.17132465	0.00060691	0.00003033	0.00001159	
0.00100000	1.90082580	0.00185015	0.16871059	0.00060868	0.00002977	0.00001128	
0.00100000	1.92678055	0.00175615	0.16850299	0.00060590	0.00003149	0.00001112	
0.00100000	1.90963860	0.00181679	0.16922278	0.00060187	0.00003135	0.00001088	
0.00100000	1.89871307	0.00181471	0.16800523	0.00060322	0.00002776	0.00001067	
0.00100000	1.94050325	0.00165469	0.16789510	0.00060196	0.00002826	0.00001035	
0.00100000	1.90878963	0.00182884	0.16675283	0.00060424	0.00002794	0.00001004	
0.00100000	1.90042612	0.00174021	0.16991799	0.00059205	0.00003134	0.00000986	
0.00100000	1.94340023	0.00169322	0.16450999	0.00060215	0.00002867	0.00000960	
0.00100000	1.91960248	0.00166640	0.16560621	0.00060069	0.00002799	0.00000944	
0.00100000	1.93133337	0.00184886	0.16876758	0.00059623	0.00003181	0.00000942	
0.00100000	1.88917702	0.00169787	0.16554042	0.00060076	0.00003114	0.00000935	
